# TeXdoc database file
# some documentation is included in .sty files only; texdoctk needs keys for
# extracting it at the beginning of the 4th field:
# -0-: no specific place; -1-: at end, behind \endinput; -2-: at beginning,
# terminated by %%%%%%; -3-: at beginning, terminated with blank line
@Fundamentals/general references
caption2;Figure captions (caption2);latex/caption/caption2.dvi;figures, tables
caption2a;caption2 manual (german) (caption2);latex/caption/anleitung.dvi;figures, tables
ccaption;Continued figure captions (ccaption);latex/ccaption/ccaption.dvi;figures, tables
sidecap;Typeset captions sideways (sidecap);latex/sidecap/sidecap.dvi;figures, tables
figcaps;Figure captions at end in preprints (figcaps);latex/preprint/figcaps.dvi;preprint, submission
capt-of;Faked captions (capt-of);latex/misc/capt-of.sty;
hypcap;Adjusting hyperref anchors of captions (hypcap);latex/oberdiek/hypcap.pdf;figures, tables
sublabel;Subnumbering of counters (sublabel);latex/preprint/sublabel.dvi;
#
@Graphics
picins;Small pictures in paragraphs 1 (picins);latex/styles/picins.txt;figures
wrapfig;Wrap text around figures (wrapfig);latex/misc/wrapfig.sty;-1-
subfigure;Subfigures (subfigure);latex/styles/subfigure.dvi;
fancybox;Fancy boxes and box macros (fancybox);latex/styles/fancybox.dvi;
rotating;Rotate objects (rotating);latex/rotating/examples.ps;
eepic;epic picture environment extensions (eepic);latex/eepic/eepic.dvi;picture, drawing, arrow
xypic1;XYpic User Guide (xypic);generic/xypic/xyguide.pdf;picture, drawing, arrows, curves
xypic2;XYpic Reference Manual (xypic);generic/xypic/xyrefer.pdf;picture, drawing, arrows, curves
texdraw;TeXDraw: advanced drawing using PS (texdraw);generic/texdraw/texdraw.ps;picture, PostScript, Bezier curves, lines
multibox;Multiple boxes in pictures (multibox);latex/misc/multibox.sty;-3-
curves;Curves in LaTeX pictures (curves);latex/styles/curves.dvi;drawing
treesvr;Tree diagrams (trees);latex/treesvr/treedoc.dvi;drawing
pb-diagram;Commutative diagrams (pb-diagram);latex/pb-diagram/pb-manual.dvi;
crop;Crop marks (crop);latex/styles/crop.dvi;layout, mirror, invert
eso-pic;Add pictures to every page (eso-pic);latex/eso-pic/eso-pic.dvi;graphics
epslatex;Using imported graphics in LaTeX2e (epslatex);latex/graphics/epslatex.ps;PostScript, EPS, JPEG, GIF, TIFF, compression, scale, rotate, PSfrag, landscape, box, colour
graphics;PS and other graphics (graphics/graphicx);latex/graphics/grfguide.ps;PostScript, EPS, JPEG, GIF, TIFF, scale, rotate, landscape, box, colour
psfig;PS graphics (obsolete) (psfig);generic/misc/psfig.sty;-0-, PostScript, scale, rotate, landscape, box
metapost1;MetaPost introduction;metapost/base/mpintro.ps;PostScript, Bezier curves, boxes, drawing, graphs, plots, grid
